Uid,Order_Date,Order_Id,Pay_Type,Pay_Amt,Is_Discount
4117113,2018/1/1 14:00,5072593051,9,354.4373184,0
6319114,2018/1/27 7:44,1763884055,8,877.829721,0
6313113,2018/1/11 4:42,8087758399,5,402.2866392,0
5012120,2018/1/20 15:43,1399659363,8,44.29022193,1
6211111,2018/1/27 0:56,8890112009,5,55.4029846,0
3817117,2018/1/9 16:12,5203492140,7,777.2759995,0
5014119,2018/1/9 20:18,8977785513,2,290.0472878,0
4517120,2018/1/24 19:46,5186592949,3,986.3543301,0
3714114,2018/1/4 23:42,5805893205,7,515.5230657,0
6014115,2018/1/26 2:40,2739256659,4,535.497406,0
6114114,2018/1/6 11:48,4399569528,3,550.6397555,1
5520115,2018/1/26 14:57,1955761801,6,663.1257357,1
6315120,2018/1/13 9:15,5678924193,1,348.8073222,0
4113118,2018/1/27 22:39,6193288612,7,429.2502049,0
6718115,2018/1/17 14:39,5889179746,9,395.3769416,0
4014113,2018/1/22 12:59,7554041456,3,747.9364149,0
6217112,2018/1/3 18:13,8950521458,1,412.7543441,1
4016111,2018/1/27 11:26,5187115071,11,670.2079546,0
3913111,2018/1/15 6:22,3346668810,1,504.3081579,1
3919115,2018/1/20 10:17,2496534108,7,588.821281,1
5415120,2018/1/30 11:16,6068165540,10,836.1751695,1
3414112,2018/1/24 23:11,5605924686,3,123.7756146,0
4011115,2018/1/9 7:46,7813872670,5,668.0250987,0
5315111,2018/1/15 6:00,4573817390,2,539.7076397,1
6113116,2018/1/27 16:02,8251037462,2,593.5748394,1
6720115,2018/1/18 9:02,7843911509,11,477.7899554,1
4817117,2018/1/4 4:54,7594096039,5,426.1368724,0
4113116,2018/1/16 17:57,4976179821,10,571.1197186,1
3620111,2018/1/2 13:37,3638096345,12,379.5951428,1
5014114,2018/1/10 14:03,4762872358,9,986.1920641,0
6011113,2018/1/16 19:46,4783149351,8,209.9464818,0
3216116,2018/1/2 14:49,7519128922,9,44.93865742,1
3419114,2018/1/15 4:00,3844870839,4,419.0490277,0
4115113,2018/1/5 20:23,4979379495,3,189.6950403,1
6517120,2018/1/2 19:16,2974552419,9,624.3084501,0
5616114,2018/1/20 9:15,8753989045,10,346.7385535,1
5418111,2018/1/30 3:50,3872680617,6,765.3558581,0
5519111,2018/1/23 14:55,1484461762,2,1026.602064,0
6711115,2018/1/11 17:00,4259488909,9,1103.853885,0
6614120,2018/1/21 17:29,4029249057,7,576.1332592,0
3318119,2018/1/25 0:07,6306823294,4,284.4543682,0
6012120,2018/1/10 5:04,1179411255,12,726.187092,0
5415120,2018/1/16 17:47,4790925137,11,1165.55359,1
4514117,2018/1/14 14:05,8942740499,1,953.3775994,0
5015119,2018/1/26 3:01,8259953444,7,597.4715792,1
5117116,2018/1/12 11:29,3863455656,4,766.9920687,0
3616116,2018/1/16 0:51,1773883370,7,326.9828005,1
3917120,2018/1/15 3:20,1399360754,2,519.2183786,0
3718119,2018/1/10 9:28,2495660726,11,1276.536543,0
3916115,2018/1/20 18:09,7861321987,5,1010.378898,0
6012119,2018/1/10 21:08,4343733526,10,1012.318764,0
5912112,2018/1/3 10:18,3266823733,5,494.2184912,1
6717116,2018/1/14 14:14,5523181685,6,465.6261233,0
3411115,2018/1/14 6:56,1168864319,9,324.6567111,0
4717112,2018/1/28 21:42,3799254005,8,783.3070124,0
3914120,2018/1/15 7:33,3398649154,4,537.0190761,0
4818112,2018/1/3 14:26,2726665253,4,897.1314357,1
5512116,2018/1/24 6:11,6008765825,9,987.4738938,1
4613120,2018/1/1 20:04,3686179061,9,809.2586511,0
6711111,2018/1/14 23:03,1470141533,6,556.358523,0
6211111,2018/1/26 14:02,5308366186,10,294.4866758,1
5117113,2018/1/28 14:10,4125438413,10,528.9912104,0
5215120,2018/1/28 3:13,3681534380,9,861.5486426,0
4712115,2018/1/3 13:32,5452661080,11,641.6282585,0
5420120,2018/1/11 23:23,6027692797,9,466.9558947,0
6615114,2018/1/4 2:40,1524485568,4,300.3202084,0
4318111,2018/1/23 21:45,1116155858,9,586.9041925,0
6216111,2018/1/29 18:24,7710655199,10,514.4859843,0
4820117,2018/1/9 5:35,6507193171,9,438.6357184,0
4918112,2018/1/15 21:53,1633988809,7,182.5166102,1
5415112,2018/1/21 16:07,5919855264,8,200.2369912,0
6420115,2018/1/14 14:54,2936384512,7,329.0953572,1
6214113,2018/1/6 3:51,1232427712,6,637.5293826,0
6715117,2018/1/29 10:48,2353819104,6,445.4518441,0
3813116,2018/1/29 5:29,7587784683,12,283.1411833,0
5120118,2018/1/12 10:14,5738654040,2,366.8522226,0
4415118,2018/1/3 11:00,7927642467,5,554.6558874,1
4418114,2018/1/28 20:10,8185823936,2,101.8858702,0
5313112,2018/1/1 2:27,1180231390,3,865.4509069,0
5116113,2018/1/18 1:32,3693241058,10,639.7182889,0
4619112,2018/1/25 17:44,4731599869,3,208.9419243,0
4815116,2018/1/8 12:56,5647530221,8,630.30262,1
5412113,2018/1/14 22:28,5253683746,8,155.8667379,1
5615116,2018/1/5 1:48,5236593329,5,658.7406968,0
3719112,2018/1/26 14:49,3070726855,3,820.113897,0
4220116,2018/1/3 17:19,3185932323,6,714.8769865,1
5920119,2018/1/1 4:44,6827640322,11,133.9319995,1
6215119,2018/1/11 1:41,6670072108,4,427.8417924,0
3414116,2018/1/21 11:47,6760775106,11,929.8677726,0
4215116,2018/1/24 21:02,5480613603,6,430.0606451,0
5712115,2018/1/3 18:23,6061981749,4,957.0808713,1
6613115,2018/1/10 8:40,7267995565,10,450.6028913,0
5915117,2018/1/7 12:46,4331650685,12,606.8917172,0
3311117,2018/1/8 18:22,4100343430,6,267.8970478,0
4112120,2018/1/17 23:58,4893034173,10,720.078544,1
6220116,2018/1/21 1:11,8196828206,4,247.9122932,0
3618117,2018/1/12 15:55,3318337273,5,744.1899053,0
6412112,2018/1/22 9:45,8627779973,7,336.6553938,0
3514114,2018/1/26 14:46,6267389761,12,485.2639016,0
4813118,2018/1/23 22:40,8309072084,6,728.4095595,0
3719119,2018/1/24 13:28,3305899763,12,690.1638298,1
6515118,2018/1/9 21:19,8375227366,8,572.2938864,0
4217115,2018/1/11 22:05,2198618609,4,705.5281097,1
3716114,2018/1/24 13:05,5158710616,3,260.0153746,1
4614120,2018/1/15 2:36,3424085441,8,281.9519691,1
6520117,2018/1/18 21:20,4603672749,5,567.1243558,0
4311111,2018/1/24 22:06,4500279444,10,626.7976625,0
6515118,2018/1/27 12:59,1749217002,12,918.2195584,0
6313115,2018/1/25 0:53,4158535602,2,476.9445418,1
4615111,2018/1/4 22:04,8740945170,8,984.509573,0
3519111,2018/1/5 4:53,7205377605,2,432.8864078,0
3917118,2018/1/15 14:15,1619272865,4,510.0935514,0
6312114,2018/1/22 19:11,3521446212,4,958.5707011,1
6619114,2018/1/24 12:09,1478576457,1,975.0409382,0
5013111,2018/1/7 15:29,2906971507,9,873.1227273,0
6518113,2018/1/28 19:19,8288598470,1,979.9441583,1
3811116,2018/1/2 16:22,8197368042,5,751.3075351,0
4114117,2018/1/8 18:47,6996326795,3,733.1242835,0
5519116,2018/1/29 21:52,4744940982,5,615.3871608,1
5511112,2018/1/30 15:35,5272516467,8,586.7574959,0
5917114,2018/1/27 19:16,6139378911,1,744.488971,1
6117114,2018/1/13 9:46,7434982420,11,413.1741774,0
5418113,2018/1/21 7:47,7968470306,2,666.6232436,0
6318114,2018/1/15 5:50,6527696988,12,533.174611,0
4118114,2018/1/13 1:06,7711423240,8,874.9948441,0
6714119,2018/1/30 14:56,6129854022,9,558.9906816,1
3514116,2018/1/25 11:16,1407065092,12,783.8593577,0
4711112,2018/1/26 20:36,6048641830,1,497.4035361,0
3717113,2018/1/6 5:19,6698345856,12,129.2758479,0
3613119,2018/1/29 15:53,7194421208,5,1111.039077,0
6420114,2018/1/12 7:54,1432381832,8,1076.329212,0
5020113,2018/1/15 14:25,6826011612,10,555.6497079,0
5520112,2018/1/7 3:27,3014256336,1,326.3682157,0
4211117,2018/1/18 13:09,3580038533,6,611.6685454,0
4418115,2018/1/27 11:28,3757528975,3,507.6426344,0
5119117,2018/1/18 11:47,6783031378,8,353.3848988,0
3215119,2018/1/6 3:31,6112037139,2,922.9170843,1
3213111,2018/1/18 18:06,6025613859,1,447.5709504,0
4311119,2018/1/20 22:53,4622074610,6,74.19379464,1
4618115,2018/1/24 11:46,5671288686,10,110.3897553,1
5716115,2018/1/22 6:38,3849039846,1,459.4808291,0
6513117,2018/1/9 1:02,6688361084,7,329.4536362,1
3911115,2018/1/7 4:56,5987944169,10,655.2053911,0
4613113,2018/1/8 8:38,5576689774,1,622.1258977,1
4117117,2018/1/16 4:07,3504735133,2,727.8280244,0
5219117,2018/1/20 15:33,6262742683,6,889.0523987,1
3715113,2018/1/25 9:44,4339822951,3,285.6411033,1
6615117,2018/1/10 10:12,3369165419,11,323.8160069,0
6611117,2018/1/29 2:21,4620066616,10,713.4879696,1
5119111,2018/1/30 9:27,8199922956,11,786.4481533,1
6519114,2018/1/24 18:43,2041550190,9,268.5433869,0
3319118,2018/1/9 2:10,7886849932,11,184.6634056,0
3819113,2018/1/16 1:59,5574483140,12,779.9329446,0
6217114,2018/1/30 17:27,7778558254,9,337.5428857,0
6216116,2018/1/26 1:10,8190577624,10,897.2802311,0
4216116,2018/1/10 16:39,7974666752,5,610.359697,0
6515116,2018/1/29 15:38,1311322365,4,67.98880238,1
6620120,2018/1/12 4:18,1570266216,11,1087.936945,0
5115111,2018/1/15 3:31,2767372226,11,213.0324425,0
6318118,2018/1/4 3:13,4025585915,7,763.8797772,0
3718116,2018/1/13 19:48,1863926074,4,775.812805,1
5318116,2018/1/27 15:10,7686350492,12,686.986323,0
4313120,2018/1/28 15:03,1737580452,4,582.0371293,1
5818111,2018/1/24 13:58,4077947790,5,258.3382632,0
3316111,2018/1/8 13:11,1638029670,6,689.4443054,1
6316117,2018/1/21 14:07,3750639323,9,504.402967,0
4512117,2018/1/17 2:56,5235594596,12,845.5707422,0
5012111,2018/1/15 1:51,1104759125,9,385.9250473,1
5416112,2018/1/14 9:49,1959252295,1,203.1666198,0
4611119,2018/1/25 19:58,3523171180,12,1020.748941,1
3314116,2018/1/22 11:16,4500153499,3,489.7997694,1
4111116,2018/1/9 8:54,4632757021,8,625.9042614,1
3714115,2018/1/10 17:22,7981142267,7,262.8871958,1
5017111,2018/1/20 21:10,2223931623,4,1184.807869,1
6716115,2018/1/27 10:46,5715188330,10,754.5893939,0
4820117,2018/1/20 17:46,7987050919,4,393.1310815,1
5312111,2018/1/6 22:42,6354018067,3,735.8961812,0
4318120,2018/1/9 2:42,4835757398,6,446.8969014,1
